图号,名称,数量,材料/类型,建模来源,零件文件,STEP文件
FD-001,设备台面,1,Q235B,自制件原生建模,FD-001_machine_table.SLDPRT,FD-001_machine_table.STEP
FD-002,机架立柱,4,Q235B,自制件原生建模,FD-002_frame_leg.SLDPRT,FD-002_frame_leg.STEP
FD-003,振动盘安装板,1,Q235B,自制件原生建模,FD-003_bowl_base.SLDPRT,FD-003_bowl_base.STEP
FD-004,振动盘料斗简化件,1,SUS304,外购简化,FD-004_vibratory_bowl.SLDPRT,FD-004_vibratory_bowl.STEP
FD-005,振动盘驱动器简化件,1,外购件,外购简化,FD-005_bowl_drive.SLDPRT,FD-005_bowl_drive.STEP
FD-006,直线送料轨道,1,6061-T6,自制件原生建模,FD-006_linear_track.SLDPRT,FD-006_linear_track.STEP
FD-007,轨道高度调节板,3,Q235B,自制件原生建模,FD-007_track_support.SLDPRT,FD-007_track_support.STEP
FD-008,单件分离挡块,1,45钢,自制件原生建模,FD-008_separator_block.SLDPRT,FD-008_separator_block.STEP
FD-009,分料气缸简化件,1,外购件,外购简化,FD-009_separator_cylinder.SLDPRT,FD-009_separator_cylinder.STEP
FD-010,V形定位座底板,1,Q235B,自制件原生建模,FD-010_vblock_base.SLDPRT,FD-010_vblock_base.STEP
FD-011,V形定位块,2,45钢,自制件原生建模,FD-011_vblock_jaw.SLDPRT,FD-011_vblock_jaw.STEP
FD-012,检测传感器支架,1,Q235B,自制件原生建模,FD-012_sensor_bracket.SLDPRT,FD-012_sensor_bracket.STEP
FD-013,位移传感器简化件,1,外购件,外购简化,FD-013_sensor_body.SLDPRT,FD-013_sensor_body.STEP
FD-014,推料气缸简化件,1,外购件,外购简化,FD-014_pusher_cylinder.SLDPRT,FD-014_pusher_cylinder.STEP
FD-015,分选滑槽,1,Q235B,自制件原生建模,FD-015_diverter_chute.SLDPRT,FD-015_diverter_chute.STEP
FD-016,透明防护罩框架,2,6061-T6,自制件原生建模,FD-016_guard_panel.SLDPRT,FD-016_guard_panel.STEP
FD-017,被检测阶梯轴（60×20）,5,45钢,自制件原生建模,FD-017_workpiece_shaft.SLDPRT,FD-017_workpiece_shaft.STEP
