图号,名称,类型,参数JSON
FD-001,设备台面,plate,"{""length"": 1000, ""width"": 650, ""thickness"": 18, ""holes"": [[-450, -275, 14], [450, -275, 14], [-450, 275, 14], [450, 275, 14], [0, 0, 80]], ""slots"": [], ""bosses"": [[""rect"", 0, 0, 920, 570, 24]]}"
FD-002,机架立柱,box,"{""length"": 60, ""width"": 60, ""height"": 560, ""holes"": [], ""face_boss"": [82, 12]}"
FD-003,振动盘安装板,plate,"{""length"": 330, ""width"": 330, ""thickness"": 14, ""holes"": [[120.10433922646727, 49.748846207461675, 14], [49.74884620746168, 120.10433922646727, 14], [-49.74884620746167, 120.10433922646727, 14], [-120.10433922646727, 49.74884620746169, 14], [-120.10433922646729, -49.74884620746166, 14], [-49.74884620746163, -120.10433922646729, 14], [49.7488462074617, -120.10433922646726, 14], [120.10433922646729, -49.74884620746164, 14], [49.49747468305833, 49.49747468305833, 11], [-49.49747468305832, 49.49747468305833, 11], [-49.497474683058336, -49.49747468305832, 11], [49.497474683058314, -49.497474683058336, 11]], ""slots"": [], ""bosses"": [[""circle"", 0, 0, 210, 22]]}"
FD-004,振动盘料斗简化件,bowl,"{""flange_d"": 430, ""flange_t"": 18, ""outer_d"": 400, ""inner_d"": 310, ""height"": 130, ""holes"": [[170.91771351458806, 70.79643498754162, 12], [70.79643498754162, 170.91771351458806, 12], [-70.7964349875416, 170.91771351458806, 12], [-170.91771351458806, 70.79643498754163, 12], [-170.91771351458806, -70.79643498754159, 12], [-70.79643498754156, -170.91771351458806, 12], [70.79643498754164, -170.91771351458803, 12], [170.91771351458806, -70.79643498754157, 12]], ""center_boss"": [105, 70]}"
FD-005,振动盘驱动器简化件,box,"{""length"": 210, ""width"": 210, ""height"": 90, ""holes"": [[55.15432893255071, 55.15432893255071, 11], [-55.154328932550705, 55.15432893255071, 11], [-55.15432893255072, -55.154328932550705, 11], [55.15432893255069, -55.15432893255072, 11]], ""face_boss"": [145, 90]}"
FD-006,直线送料轨道,rail,"{""length"": 620, ""width"": 96, ""thickness"": 12, ""holes"": [[-280, -38, 9], [-280, 38, 9], [280, -38, 9], [280, 38, 9]], ""center_slot"": [560, 26], ""side_rails"": [33, 12, 34]}"
FD-007,轨道高度调节板,plate,"{""length"": 120, ""width"": 180, ""thickness"": 12, ""holes"": [[-45, -70, 9], [45, -70, 9], [-45, 70, 9], [45, 70, 9]], ""slots"": [[0, 0, 18, 125]], ""bosses"": [[""rect"", 0, 0, 82, 140, 20]]}"
FD-008,单件分离挡块,plate,"{""length"": 95, ""width"": 70, ""thickness"": 18, ""holes"": [[-30, -22, 7], [30, -22, 7], [-30, 22, 7], [30, 22, 7]], ""slots"": [[0, 0, 25, 28]], ""bosses"": [[""rect"", 0, 0, 55, 36, 28]]}"
FD-009,分料气缸简化件,box,"{""length"": 105, ""width"": 60, ""height"": 60, ""holes"": [[-40, -20, 6.5], [40, -20, 6.5], [-40, 20, 6.5], [40, 20, 6.5]], ""shaft"": [20, 170]}"
FD-010,V形定位座底板,plate,"{""length"": 150, ""width"": 110, ""thickness"": 18, ""holes"": [[-55, -38, 9], [55, -38, 9], [-55, 38, 9], [55, 38, 9]], ""slots"": [[0, 0, 70, 24]], ""bosses"": [[""rect"", 0, 0, 100, 70, 28]]}"
FD-011,V形定位块,plate,"{""length"": 110, ""width"": 34, ""thickness"": 18, ""holes"": [[-40, 0, 7], [40, 0, 7]], ""slots"": [], ""bosses"": [[""rect"", 0, 0, 70, 20, 26]]}"
FD-012,检测传感器支架,plate,"{""length"": 170, ""width"": 120, ""thickness"": 10, ""holes"": [[-65, -45, 9], [65, -45, 9], [-65, 45, 9], [65, 45, 9]], ""slots"": [[0, 15, 22, 65]], ""bosses"": [[""rect"", 0, -45, 115, 18, 22]]}"
FD-013,位移传感器简化件,box,"{""length"": 55, ""width"": 42, ""height"": 85, ""holes"": [[-18, -14, 5.5], [18, -14, 5.5], [-18, 14, 5.5], [18, 14, 5.5]], ""shaft"": [10, 120]}"
FD-014,推料气缸简化件,box,"{""length"": 135, ""width"": 72, ""height"": 72, ""holes"": [[-52, -26, 7], [52, -26, 7], [-52, 26, 7], [52, 26, 7]], ""shaft"": [25, 225]}"
FD-015,分选滑槽,rail,"{""length"": 340, ""width"": 130, ""thickness"": 10, ""holes"": [[-145, -52, 9], [-145, 52, 9], [145, -52, 9], [145, 52, 9]], ""center_slot"": [280, 62], ""side_rails"": [52, 10, 42]}"
FD-016,透明防护罩框架,guard,"{""length"": 900, ""width"": 420, ""thickness"": 8, ""window_length"": 770, ""window_width"": 300, ""window_y"": 20, ""holes"": [[-420, -180, 9], [420, -180, 9], [-420, 180, 9], [420, 180, 9]], ""edge_boss"": [900, 24, 16]}"
FD-017,被检测阶梯轴（60×20）,shaft,"{""steps"": [[20, 24], [15, 44], [12, 60]]}"
