item,component,qty,specification
1,vibratory bowl feeder,1,400 mm class
2,linear feeder track,1,620 mm adjustable rails
3,separator cylinders,2,16 mm bore / 65 mm stroke
4,transfer cylinder,1,20 mm bore / 170 mm stroke
5,eject cylinder,1,16 mm bore / 85 mm stroke
6,linear guides,2,420 mm
7,V-block fixture,1,hardened replaceable inserts
8,photoelectric sensors,5,24 VDC
9,industrial camera,1,top view
10,telecentric lens,1,matched field of view
11,backlight,1,320 x 180 mm
12,laser micrometer pair,1,emitter/receiver
13,pneumatic valve island,1,8-station
14,PLC/HMI/electrical cabinet,1 set,24 VDC control
15,OK and NG bins,2,removable
16,aluminium-profile frame,1 set,40 series
17,polycarbonate guarding,1 set,door interlock
18,cable chain,1,transfer axis
