element,x_start_mm,x_end_mm,moment_start_nmm,moment_end_nmm,stress_start_mpa,stress_end_mpa
1,0.0,25.0,0.0,-1874.9999999824213,0.0,1.116071428560965
2,25.0,50.0,-1874.9999999823049,-3749.99999996298,1.1160714285608957,2.2321428571208215
3,50.0,75.0,-3749.9999999632128,-5624.999999954598,2.23214285712096,3.3482142856872605
4,75.0,100.0,-5624.999999954365,-7499.999999942491,3.348214285687122,4.464285714251482
5,100.0,125.0,-7499.9999999429565,-9374.99999993248,4.46428571425176,5.580357142816952
6,125.0,150.0,-9374.999999932246,-11249.999999923282,5.580357142816813,6.696428571382906
7,150.0,175.0,-11249.999999923748,-13124.999999914551,6.6964285713831835,7.812499999949138
8,175.0,200.0,-13124.999999914493,-14999.999999906868,7.812499999949103,8.928571428515992
9,200.0,225.0,-14999.999999906984,-16874.99999989802,8.928571428516062,10.044642857082154
10,225.0,250.0,-16874.999999897205,-18749.999999894528,10.04464285708167,11.160714285651505
11,250.0,275.0,-18749.999999894208,-20624.999999893946,11.160714285651315,12.276785714222587
12,275.0,300.0,-20624.999999894673,-22499.999999889667,12.27678571422302,13.392857142791469
13,300.0,325.0,-22499.999999890177,-20624.99999989185,13.392857142791772,12.27678571422134
14,325.0,350.0,-20624.999999891385,-18749.999999893305,12.276785714221063,11.160714285650776
15,350.0,375.0,-18749.99999989383,-16874.99999990198,11.160714285651089,10.044642857084511
16,375.0,400.0,-16874.999999901862,-14999.999999907974,10.044642857084442,8.928571428516651
17,400.0,425.0,-14999.999999908148,-13124.999999915482,8.928571428516754,7.812499999949692
18,425.0,450.0,-13124.999999916414,-11249.99999992433,7.812499999950246,6.69642857138353
19,450.0,475.0,-11249.999999924796,-9374.999999934575,6.696428571383807,5.580357142818199
20,475.0,500.0,-9374.999999934342,-7499.999999945518,5.580357142818061,4.464285714253284
21,500.0,525.0,-7499.999999945168,-5624.999999958323,4.4642857142530765,3.3482142856894783
22,525.0,550.0,-5624.9999999580905,-3749.9999999714782,3.3482142856893398,2.23214285712588
23,550.0,575.0,-3749.9999999718275,-1874.9999999855645,2.232142857126088,1.116071428562836
24,575.0,600.0,-1874.999999985681,-0.0,1.1160714285629052,0.0
