node,x_mm,deflection_mm,rotation_rad
1,0.0,0.0,-0.004852484472019298
2,25.0,-0.1210312967268711,-0.004818786663185936
3,50.0,-0.2403777030120744,-0.004717693236685883
4,75.0,-0.35635432841394143,-0.00454920419251897
5,100.0,-0.4672762824907981,-0.004313319530685075
6,125.0,-0.5714586748009703,-0.004010039251184208
7,150.0,-0.6672166149027835,-0.0036393633540163423
8,175.0,-0.7528652123545619,-0.003201291839181429
9,200.0,-0.8267195767146296,-0.002695824706679463
10,225.0,-0.8870948175413096,-0.002122961956510435
11,250.0,-0.9323060443929254,-0.0014827035886742894
12,275.0,-0.9606683668277967,-0.0007750496031708503
13,300.0,-0.9704968944042405,-1.2290053738359377e-16
14,325.0,-0.9606683668278031,0.0007750496031705627
15,350.0,-0.93230604439294,0.0014827035886739394
16,375.0,-0.8870948175413323,0.0021229619565101597
17,400.0,-0.8267195767146579,0.002695824706679275
18,425.0,-0.7528652123545945,0.003201291839181281
19,450.0,-0.6672166149028191,0.003639363354016237
20,475.0,-0.5714586748010078,0.004010039251184173
21,500.0,-0.4672762824908354,0.00431331953068512
22,525.0,-0.3563543284139762,0.004549204192519134
23,550.0,-0.2403777030121028,0.004717693236686261
24,575.0,-0.12103129672688694,0.00481878666318653
25,600.0,0.0,0.004852484472019951
